timescale,pval,comparison,shed,iteration,hierarchy
30mins,0.42505761889164506,Relative Position,W3,99,Relative Position
4hr,0.26442802522699416,Relative Position,W3,99,Relative Position
daily,0.08676337179451415,Relative Position,W3,99,Relative Position
hourly,0.368098138600868,Relative Position,W3,99,Relative Position
30mins,0.3016632277757036,Relative Position,W3,100,Relative Position
4hr,0.2929908731734458,Relative Position,W3,100,Relative Position
daily,0.13656235724569543,Relative Position,W3,100,Relative Position
hourly,0.3216628933186728,Relative Position,W3,100,Relative Position
30mins,0.5844324075807592,Drainage Area,W3,1,Drainage Area
4hr,0.47375821668444507,Drainage Area,W3,1,Drainage Area
daily,0.20361480842169313,Drainage Area,W3,1,Drainage Area
hourly,0.571603523025324,Drainage Area,W3,1,Drainage Area
30mins,0.525545473733146,Drainage Area,W3,2,Drainage Area
4hr,0.4994008701626903,Drainage Area,W3,2,Drainage Area
daily,0.17555958245701872,Drainage Area,W3,2,Drainage Area
hourly,0.5029956219483133,Drainage Area,W3,2,Drainage Area
30mins,0.40369505465220473,Drainage Area,W3,3,Drainage Area
4hr,0.2814779192214366,Drainage Area,W3,3,Drainage Area
daily,0.06633449163344393,Drainage Area,W3,3,Drainage Area
hourly,0.3659257239832798,Drainage Area,W3,3,Drainage Area
30mins,0.47545145323446353,Drainage Area,W3,4,Drainage Area
4hr,0.3485599474391346,Drainage Area,W3,4,Drainage Area
daily,0.2145563240986192,Drainage Area,W3,4,Drainage Area
hourly,0.4790403329290149,Drainage Area,W3,4,Drainage Area
30mins,0.572096560802865,Drainage Area,W3,5,Drainage Area
4hr,0.41166476635895566,Drainage Area,W3,5,Drainage Area
daily,0.1555311457185926,Drainage Area,W3,5,Drainage Area
hourly,0.5166706598406183,Drainage Area,W3,5,Drainage Area
30mins,0.7958004896733964,Drainage Area,W3,6,Drainage Area
4hr,0.610869826231651,Drainage Area,W3,6,Drainage Area
daily,0.3090259343429066,Drainage Area,W3,6,Drainage Area
hourly,0.7503329624547386,Drainage Area,W3,6,Drainage Area
30mins,0.4313437731089585,Drainage Area,W3,7,Drainage Area
4hr,0.3084177408478273,Drainage Area,W3,7,Drainage Area
daily,0.06932198021484155,Drainage Area,W3,7,Drainage Area
hourly,0.42721600811668253,Drainage Area,W3,7,Drainage Area
30mins,0.2867435489164065,Drainage Area,W3,8,Drainage Area
4hr,0.21338940272772416,Drainage Area,W3,8,Drainage Area
