timescale,pval,comparison,shed,iteration,hierarchy
hourly,0.18766244054134945,Relative Position,ZZ,80,Relative Position
30mins,0.26532038017951254,Relative Position,ZZ,81,Relative Position
4hr,0.1588816632596949,Relative Position,ZZ,81,Relative Position
daily,0.043466985493194964,Relative Position,ZZ,81,Relative Position
hourly,0.2032367154567959,Relative Position,ZZ,81,Relative Position
30mins,0.853681924707964,Relative Position,ZZ,82,Relative Position
4hr,0.7311272419665611,Relative Position,ZZ,82,Relative Position
daily,0.5565102735071343,Relative Position,ZZ,82,Relative Position
hourly,0.8101720877440837,Relative Position,ZZ,82,Relative Position
30mins,0.2088967572439284,Relative Position,ZZ,83,Relative Position
4hr,0.2018622526983857,Relative Position,ZZ,83,Relative Position
daily,0.048290705598232585,Relative Position,ZZ,83,Relative Position
hourly,0.2187370497071374,Relative Position,ZZ,83,Relative Position
30mins,0.5507259978590988,Relative Position,ZZ,84,Relative Position
4hr,0.3350426275176499,Relative Position,ZZ,84,Relative Position
daily,0.12062314506137566,Relative Position,ZZ,84,Relative Position
hourly,0.5456216388049315,Relative Position,ZZ,84,Relative Position
30mins,0.6046642359393946,Relative Position,ZZ,85,Relative Position
4hr,0.5498985158756503,Relative Position,ZZ,85,Relative Position
daily,0.3415394496731831,Relative Position,ZZ,85,Relative Position
hourly,0.5801934106695774,Relative Position,ZZ,85,Relative Position
30mins,0.2994427096973717,Relative Position,ZZ,86,Relative Position
4hr,0.2637257522846992,Relative Position,ZZ,86,Relative Position
daily,0.06630978289946184,Relative Position,ZZ,86,Relative Position
hourly,0.3021105212646792,Relative Position,ZZ,86,Relative Position
30mins,0.5967277979612572,Relative Position,ZZ,87,Relative Position
4hr,0.4040816003817166,Relative Position,ZZ,87,Relative Position
daily,0.14079367015855068,Relative Position,ZZ,87,Relative Position
hourly,0.5145885382411362,Relative Position,ZZ,87,Relative Position
30mins,0.4411530299900808,Relative Position,ZZ,88,Relative Position
4hr,0.45534522991627024,Relative Position,ZZ,88,Relative Position
daily,0.21903989226405143,Relative Position,ZZ,88,Relative Position
hourly,0.46433249571255913,Relative Position,ZZ,88,Relative Position
30mins,0.5964580780486883,Relative Position,ZZ,89,Relative Position
4hr,0.38291396215569784,Relative Position,ZZ,89,Relative Position
daily,0.28531764255816894,Relative Position,ZZ,89,Relative Position
hourly,0.5486570092738885,Relative Position,ZZ,89,Relative Position
30mins,0.667364314349865,Relative Position,ZZ,90,Relative Position
4hr,0.6161557957579256,Relative Position,ZZ,90,Relative Position
daily,0.3089463348310456,Relative Position,ZZ,90,Relative Position
hourly,0.6630505035891885,Relative Position,ZZ,90,Relative Position
30mins,0.5101436761184183,Relative Position,ZZ,91,Relative Position
4hr,0.5073650530942188,Relative Position,ZZ,91,Relative Position
daily,0.17805878194341568,Relative Position,ZZ,91,Relative Position
hourly,0.48443927758949307,Relative Position,ZZ,91,Relative Position
30mins,0.3148640723275396,Relative Position,ZZ,92,Relative Position
4hr,0.23499946923775508,Relative Position,ZZ,92,Relative Position
daily,0.09643338768841231,Relative Position,ZZ,92,Relative Position
hourly,0.26910264163696107,Relative Position,ZZ,92,Relative Position
30mins,0.2624764918685389,Relative Position,ZZ,93,Relative Position
4hr,0.09859812956616078,Relative Position,ZZ,93,Relative Position
daily,0.027376214512131382,Relative Position,ZZ,93,Relative Position
hourly,0.21997422338433825,Relative Position,ZZ,93,Relative Position
30mins,0.26418123447798136,Relative Position,ZZ,94,Relative Position
4hr,0.2024499145230663,Relative Position,ZZ,94,Relative Position
daily,0.10364730478799375,Relative Position,ZZ,94,Relative Position
hourly,0.24848141952434075,Relative Position,ZZ,94,Relative Position
30mins,0.4988882458993391,Relative Position,ZZ,95,Relative Position
4hr,0.3937261225114011,Relative Position,ZZ,95,Relative Position
daily,0.30442187863990366,Relative Position,ZZ,95,Relative Position
hourly,0.4890227992694782,Relative Position,ZZ,95,Relative Position
30mins,0.10097875677501801,Relative Position,ZZ,96,Relative Position
4hr,0.05086296324731611,Relative Position,ZZ,96,Relative Position
daily,0.003285349697243953,Relative Position,ZZ,96,Relative Position
hourly,0.10184343184708163,Relative Position,ZZ,96,Relative Position
30mins,0.29222215041483723,Relative Position,ZZ,97,Relative Position
4hr,0.1562817672829321,Relative Position,ZZ,97,Relative Position
daily,0.036433703763324526,Relative Position,ZZ,97,Relative Position
hourly,0.25313856617379304,Relative Position,ZZ,97,Relative Position
30mins,0.6054696670420336,Relative Position,ZZ,98,Relative Position
4hr,0.39118150548090047,Relative Position,ZZ,98,Relative Position
daily,0.17543965183310375,Relative Position,ZZ,98,Relative Position
hourly,0.6418192975388405,Relative Position,ZZ,98,Relative Position
30mins,0.30943967385297666,Relative Position,ZZ,99,Relative Position
4hr,0.25302714781024316,Relative Position,ZZ,99,Relative Position
daily,0.05346140297642363,Relative Position,ZZ,99,Relative Position
hourly,0.3141211320317422,Relative Position,ZZ,99,Relative Position
30mins,0.1167588821531288,Relative Position,ZZ,100,Relative Position
4hr,0.07403880854778125,Relative Position,ZZ,100,Relative Position
daily,0.013409141156753021,Relative Position,ZZ,100,Relative Position
hourly,0.12260032833027162,Relative Position,ZZ,100,Relative Position
30mins,0.32445057494129914,Drainage Area,ZZ,1,Drainage Area
4hr,0.2522466121280039,Drainage Area,ZZ,1,Drainage Area
daily,0.2009777653688713,Drainage Area,ZZ,1,Drainage Area
hourly,0.29883802639366797,Drainage Area,ZZ,1,Drainage Area
30mins,0.6579472057086988,Drainage Area,ZZ,2,Drainage Area
4hr,0.41233208146138006,Drainage Area,ZZ,2,Drainage Area
daily,0.14087137025985805,Drainage Area,ZZ,2,Drainage Area
hourly,0.6034563849999253,Drainage Area,ZZ,2,Drainage Area
30mins,0.1421256274045069,Drainage Area,ZZ,3,Drainage Area
