up,down,total,points,prop,timescale,shed,hierarchy
r_9,r_8,116,75,0.646551724137931,30mins,W3,Flow Permanence
r_1,r_5,78,42,0.5384615384615384,hourly,W3,Flow Permanence
r_10,r_30,37,0,0,hourly,W3,Flow Permanence
r_11,r_10,26,24,0.9230769230769231,hourly,W3,Flow Permanence
r_13,r_3,68,37,0.5441176470588235,hourly,W3,Flow Permanence
r_14,r_17,122,46,0.3770491803278688,hourly,W3,Flow Permanence
r_15,r_28,66,27,0.4090909090909091,hourly,W3,Flow Permanence
r_16,r_1,90,34,0.37777777777777777,hourly,W3,Flow Permanence
r_17,r_7,75,56,0.7466666666666667,hourly,W3,Flow Permanence
r_18,r_31,63,17,0.2698412698412698,hourly,W3,Flow Permanence
r_19,r_12,17,12,0.7058823529411765,hourly,W3,Flow Permanence
r_2,r_21,126,73,0.5793650793650794,hourly,W3,Flow Permanence
r_20,r_25,22,0,0,hourly,W3,Flow Permanence
r_21,r_27,129,52,0.40310077519379844,hourly,W3,Flow Permanence
r_22,r_24,101,54,0.5346534653465347,hourly,W3,Flow Permanence
r_23,r_6,52,42,0.8076923076923077,hourly,W3,Flow Permanence
r_24,r_13,87,42,0.4827586206896552,hourly,W3,Flow Permanence
r_25,r_11,33,8,0.24242424242424243,hourly,W3,Flow Permanence
r_26,r_19,28,26,0.9285714285714286,hourly,W3,Flow Permanence
r_27,r_14,116,71,0.6120689655172413,hourly,W3,Flow Permanence
r_28,r_29,77,50,0.6493506493506493,hourly,W3,Flow Permanence
r_29,r_22,111,87,0.7837837837837838,hourly,W3,Flow Permanence
r_3,r_9,65,28,0.4307692307692308,hourly,W3,Flow Permanence
r_30,r_23,39,38,0.9743589743589743,hourly,W3,Flow Permanence
r_31,r_4,52,29,0.5576923076923077,hourly,W3,Flow Permanence
r_4,r_20,33,30,0.9090909090909091,hourly,W3,Flow Permanence
r_5,r_2,95,46,0.4842105263157895,hourly,W3,Flow Permanence
r_6,r_26,27,4,0.14814814814814814,hourly,W3,Flow Permanence
r_7,r_18,81,62,0.7654320987654321,hourly,W3,Flow Permanence
r_8,r_16,109,48,0.44036697247706424,hourly,W3,Flow Permanence
r_9,r_8,86,59,0.686046511627907,hourly,W3,Flow Permanence
r_1,r_5,60,34,0.5666666666666667,4hr,W3,Flow Permanence
r_10,r_30,34,0,0,4hr,W3,Flow Permanence
r_11,r_10,22,20,0.9090909090909091,4hr,W3,Flow Permanence
r_13,r_3,53,25,0.4716981132075472,4hr,W3,Flow Permanence
r_14,r_17,98,32,0.32653061224489793,4hr,W3,Flow Permanence
r_15,r_28,48,23,0.4791666666666667,4hr,W3,Flow Permanence
r_16,r_1,58,11,0.1896551724137931,4hr,W3,Flow Permanence
r_17,r_7,53,39,0.7358490566037735,4hr,W3,Flow Permanence
